# Complete genealogy data for entities with Wikidata QIDs
qid,english_label,english_description,wikidata_ids,geni_ids,uuid_ids,genealogy_ids,fathers,mothers,children,spouses
Q149157,Jean de Joinville,,Q328747,,,10349;I00028146;Joinville-1;p10693.htm#i106921|p40324.htm#i403238;Jean_de_Joinville_(1);p=jean;n=de+joinville,,,,
Q149158,Simon de Joinville,,Q107647686,,,10350;I00302383;Joinville-23;Son_De_Joinville_(1);p=simon;n=de joinville,,,,
Q149159,Joan of Lusignan,,Q10795576,365447742810013159,,888597|309910;I00026576;Lusignan-7;p40323.htm#i403230;Jeanne_of_Lusignan_(1);p=jeanne;n=de+lusignan,,,,
Q149160,"Joan de Geneville, 2nd Baroness Geneville",,Q3766298,6000000001611675939,,309924;I00026578;Geneville-2;p10297.htm#i102965;Joan_de_Geneville_(1);p=jeanne;n=de+joinville;oc=3;57615348,,,,
Q149161,Matilda de Genevile,,Q69763754,,,I00026602;Geneville-5;p57076.htm#i570758;Maud_de_Geneville_(1),,,,
Q149162,Beatrix de Genevile,,Q69763866,,,I00026601;Geneville-10;p52967.htm#i529670;Beatrice_Geneville_(1),,,,
Q149163,"John I, Count of Salm",,Q31192745,6000000003827488463,,10346;I00065099;Salm-60;p=johann;n=zu+salm;oc=6,,,,
Q149164,"Gerald fitz Maurice, 4th Baron of Offaly",,Q75459719,6000000119099704117,,I00572059;FitzMaurice-186;p15562.htm#i155611;Gerald_FitzMaurice_(12);p=gerald;n=fitzgerald;oc=10,,,,
Q149165,Loretta of Salm,,Q1870280,6000000003827368680,,10356;I00065098;Salm-180;p=loretta;n=zu+salm,,,,
Q149166,"Simon I, Count of Salm",,Q101518522,6000000003827488457,,10358;I00104525;Salm-59;p=simon;n=zu+salm,,,,
Q149167,Agnes of Salm,,Q110616471,,,I00105586,,,,
Q149168,Mathilde of Salm,,Q116004874,,,10357;I00105507;p=mathilde;n=zu salm,,,,
Q149169,Maud de Geneville,,Q100390592,,,599440;I00236582;De_Geneville-15;p=matilda;n=de geneville,,,,
Q14917,Ashikaga Senjuou,,Q17191271,,,,,,,
Q149170,Roesia de Verdun,,Q77532126,6000000000435968674,,48824;I00126365;Verdun-95;p11648.htm#i116480;Rohesi_Verdon_(1);p=rose;n=de verdun,,,,
Q149171,Eleanor de Bohun,,Q61911132,,,I00177621;Bohun-138;p41027.htm#i410266,,,,
Q149172,Matilda de Verdun,,Q61911129,,,I00397889;Verdun-37;p4269.htm#i42687,,,,
Q149173,John de Hautrey,,Q75976851,,,p44323.htm#i443230,,,,
Q149174,Thomas Dawtrey,,Q75977934,,,p44400.htm#i443997,,,,
Q149175,Mary,,Q69789168,,,I00026584;Bruce-3219;p58175.htm#i581744;Mary.Clarissa_Bruce_(1);p=mary;n=n;oc=90,,,,
Q149176,"Robert de Toni, 1st Baron Toni",,Q76174316,,,I00484731;Toeni-12;p58175.htm#i581745;Robert_De_Toeni_(7),,,,
Q149177,Fulk FitzWarin,,Q5507946,6000000008630628548,,I00199021;FitzWarin-59;p19585.htm#i195847|p41679.htm#i416788;Fulke_FitzWarin_(1),,,,
Q149178,"Maud le Vavasour, Baroness Butler",,Q6792279,,,I00126504;Vavasour-11;p19585.htm#i195845;Maud_Le_Vavasour_(7),,,,
Q149179,Duncan Macduff,,Q112969028,,,I00342033;Macduff-43;Duncan_MacDuff_(1);p=duncan;n=of fife;oc=2,,,,
Q14918,Hakutei Seiso,,Q17217212,,,,,,,
Q149180,Alice Corbet,,Q112969031,,,I00342034;Corbet-614;Alice_Corbet_(18);p=aliz;n=corbert,,,,
Q149181,"Colbán, Earl of Fife",,Q5142054,,,"I00308669;Macduff-42;Colbán,_Earl_of_Fife_(1);p=colbran macduff;n=of fife",,,,
Q149182,"Lady NN MacDuff, of Fife",,Q112968871,,,I00509162;Macduff-82,,,,
Q149183,Albert II,,Q61508,6000000002006137280,,"202082;I00013465;Wettin-31;p10684.htm#i106838;Albert_II,_Margrave_of_Meissen_(1);p=albrecht;n=wettin;oc=9",,,,
Q149184,"Frederick I, Margrave of Meissen",,Q694358,5432707656870033217,,"202081;I00013468;Wettin-23;p536.htm#i5354;Frederick_I,_Margrave_of_Meissen_(1);p=friedrich;n=wettin;oc=1",,,,
Q149185,"Dietrich IV, Landgrave of Lusatia",,Q55105,,,,,,,
Q149187,Heinrich of Pleissnerland,,Q75245854,,,I00029968;p742.htm#i7411;Heinrich_Thuringia_(1);p=heinrich;n=wettin,,,,
Q149188,Marie de Coucy,,Q2465095,6000000000424836704,,722250;I00002876;Coucy-2;p10288.htm#i102874;Marie_de_Coucy_(1)|Marie_De_Coucy_(2);p=marie;n=de coucy,,,,
Q149189,Alexander III of Scotland,,Q211109,6000000001745038323,,13064|115859;I00002878;Dunkeld-60;p10223.htm#i102227;Alexander_III_of_Scotland_(1);p=alexander;n=of scotland;oc=3;8414610,,,,
Q149190,Marjory,,Q56516944,,,I00575413;Dunkeld-50;p10530.htm#i105293;Marjory_of_Alexander_(1),,,,
Q149191,Beatrice of Savoy,,Q254275,6000000001956369826,,11719;I00004072;Savoie-1174;p10460.htm#i104593;Beatrice_of_Savoy_(1),,,,
Q149192,Margaret of Provence,,Q230889,6000000000154158007,,30414;I00000018;Provence-163;p10313.htm#i103122;Marguerite_of_Provence_(1);p=marguerite;n=de provence,,,,
Q149194,Dirk II van Valkenburg,,Q2405176,,,10390;I00021711;Van_Valkenburg-278;p4298.htm#i42971,,,,
Q149195,"Walram II ""de Rosse""",,Q2798415,,,10397;I00027009;Valkenburg-161;p48888.htm#i488880,,,,
Q149196,NN,,Q116177820,,,I00478092,,,,
Q149197,Margaret de Cornwall,,Q116177819,,,I00478096;Cornwall-6;Margaret_Cornwall_(4),,,,
Q149198,Maurice de Berkeley,,Q75382433,,,p10252.htm#i102518,,,,
Q149199,Jeanne de Valletort,,Q75384378,,,I00311468;Unknown-299246;p10459.htm#i104583;Joan_De_Valletort_(2);p=joan;n=de valletort;oc=1,,,,
Q149200,Joan (?),,Q75776400,,,p32838.htm#i328377,,,,
Q149201,Sir Geoffrey de Cornwall,,Q75776393,6000000003243284257,,183620;I00398087;Cornwall-20;p32838.htm#i328374;p=geoffrey;n=de cornwall,,,,
Q149202,Sir Edmund Cornwall,,Q75775653,,,I00425511;Cornwall-480;p32799.htm#i327984,,,,
Q149203,Joan de Cornwall,,Q76282781,,,I00008073;Cornwall-482;p66089.htm#i660882;Joan_de_Cornwall_(1);p=joan;n=de cornwall,,,,
Q149204,"Richard Champernoun, of Modbury",,Q96238063,,,I00561652;Champernon-29,,,,
Q149205,Sir Richard Champernoun,,Q96238061,,,I00561659;Champernon-17,,,,
Q149206,Oliver Champernon,,Q75557274,,,I00551843;Champernoun-27;p21115.htm#i211141,,,,
Q149207,NN,,Q116093960,,,I00394334;Unknown-299246,,,,
Q149208,Sybel de Cornwall,,Q116093951,,,I00484713,,,,
Q14921,Ashikaga Ujimitsu,2nd Kamakura Kubō of the Ashikaga shogunate,Q4306934,,,,,,,
Q149210,Margaret of France,,Q235480,6000000049649078833,,30529;I00003852;Capet-55;p10192.htm#i101919;Margaret_Of_France_(1);p=marguerite;n=capetiens;oc=2,,,,
Q149211,Henry of England,,Q361793,,,888891;I00005913;Plantagenet-170;p10191.htm#i101908;Henry_of_England_(1);p=henry;n=plantagenet;oc=5;10962839,,,,
Q149212,"Eleanor of England, Countess of Bar",,Q292321,,,11900;I00005911;Plantagenet-139;p10191.htm#i101905;Eleanor_of_England_(2);p=eleanor;n=plantagenet;oc=1;10962820,,,,
Q149213,"Alphonso, Earl of Chester",,Q1475199,6000000003219749097,,888893;I00005908;Plantagenet-164;p10192.htm#i101911;Alphonso_Plantagenet_(1);p=alfonso;n=plantagenet;10962849,,,,
Q149214,Margaret of England,,Q2667593,6000000000307258557,,11901;I00005918;Plantagenet-28;p10192.htm#i101912;Margaret_Plantagenet_(2);p=margaret;n=plantagenet;oc=2,,,,
Q149215,Mary of Woodstock,,Q4216185,5566679525130124570,,888896;I00005919;Plantagenet-169;p10192.htm#i101914;Mary_Plantagenet_(2);p=mary;n=plantagenet,,,,
Q149216,Elizabeth of Rhuddlan,,Q2435894,6000000009189190206,,11898;I00005912;Plantagenet-533;p10192.htm#i101916;Elizabeth_of_Rhuddlan_(1);p=elizabeth;n=plantagenet;oc=1;12535575,,,,
Q149217,Edward II of England,,Q5236,4194863017010128979,,11896;I00000810;Plantagenet-378;p10094.htm#i100933;Edward_II_of_England_(1);p=edward;n=plantagenet;oc=2;1956,,,,
Q149218,"Edmund of Woodstock, 1st Earl of Kent",,Q956563,6000000004960013154,,"43876;I00007045;Plantagenet-103;p10193.htm#i101921;Edmund_of_Woodstock,_1st_Earl_of_Kent_(1);p=edmund;n=plantagenet;oc=2;8088253",,,,
Q149219,Eleanor of England,,Q30703734,,,891238;I00005920;Plantagenet-1677;p10193.htm#i101922;Eleanor_Plantagenet_(84);p=eleanor;n=plantagenet;oc=4,,,,
Q149220,Joan of England,,Q75382059,,,888889;I00005914;Plantagenet-1742;p10191.htm#i101906;Joan_Plantagenet_(4);p=joan;n=plantagenet;oc=7,,,,
Q149221,John of England,,Q75382060,,,888890;I00005916;Plantagenet-222;p10191.htm#i101907;John_Plantagenet_(2);p=john;n=plantagenet;oc=9,,,,
Q149222,Alice of England,,Q75382067,,,p10192.htm#i101915,,,,
Q149223,Juliana of England,,Q75382063,,,888892;I00005917;Plantagenet-178;p10191.htm#i101909;Juliana_of_England_(1);p=juliana catherine;n=plantagenet,,,,
Q149224,Berengaria of England,,Q75382064,,,888894;I00005910;Plantagenet-790;p10192.htm#i101913;Berengaria_Plantagenet_(1);p=berengaria;n=plantagenet,,,,
Q149225,Alice of England,,Q75241982,,,Plantagenet-220;p418.htm#i4180;p=alice;n=plantagenet,,,,
Q149226,Isabella of England,,Q75384351,,,,,,,
Q149227,Beatrice of England,,Q75382069,,,p10192.htm#i101917;p=beatrice;n=plantagenet;oc=1,,,,
Q149228,Blanche of England,,Q75382071,,,p10192.htm#i101918;p=blanche;n=plantagenet;oc=2,,,,
Q149229,Katherine of England,,Q126174770,,,888888;I00010794;Plantagenet-166;Katherine_Plantagenet_(3);p=katherine;n=plantagenet;oc=2,,,,
Q14923,Shiba Ienaga,samurai of the Nanbokucho-period,Q11500852,,,,,,,
Q149230,Margaret of Scotland,,Q235482,6000000010200851092,,"590878;I00002884;Dunkeld-61;p10288.htm#i102875;Margaret_of_Scotland,_Queen_of_Norway_(1);p=margaret;n=of scotland;oc=3;alvin-person:30683",,,,
Q149231,"Alexander, Prince of Scotland",,Q2012697,6000000015635301804,,"I00002882;Dunkeld-62;p10458.htm#i104574;Alexander,_Prince_of_Scotland_(1);p=alexander;n=of scotland;oc=4;10590843",,,,
Q149232,"David of Scotland, Prince of Scotland",,Q75384364,,,I00002883;Dunkeld-63;p10458.htm#i104575;David_Unknown_(72);p=david;n=of scotland;oc=1,,,,
Q149233,"John II, Duke of Brittany",,Q453989,6000000006594579046,,"12902|60888;I00005673;Dreux-22;p10223.htm#i102228;John_II,_Duke_of_Brittany_(1);p=jean;n=de dreux;oc=3;79795117",,,,
Q149234,"Arthur II, Duke of Brittany",,Q506501,,,"60886;I00005675;Dreux-48;p10457.htm#i104567;Arthur_II,_Duke_of_Brittany_(1);p=arthur;n=de dreux;oc=1",,,,
Q149235,"Marie of Brittany, Countess of Saint-Pol",,Q6654925,6000000004533274488,,114198;I00005725;Dreux-37;p10457.htm#i104570;Marie_Of_Brittany_(2);p=marie;n=de dreux;oc=2,,,,
Q149236,"John of Brittany, Earl of Richmond",,Q628561,,,"147600;I00013419;Dreux-36;p10457.htm#i104568;John_of_Brittany,_Earl_of_Richmond_(1);p=jean;n=de dreux;oc=7",,,,
Q149237,Blanche of Brittany,,Q2906029,,,147595;I00005243;Dreux-27;p10457.htm#i104569;Blanche_of_Brittany_(1);p=blanche;n=de dreux;86222917,,,,
Q149238,Eleanor of Brittany,,Q2837333,,,913669;I00013417;Bretagne-149;p10458.htm#i104571;Alienor_de_Bretagne_(1);p=alienor;n=de dreux,,,,
Q149239,Henry de Dreux,,Q75384361,,,Bretagne-147;p10458.htm#i104573,,,,
Q14924,Ujitsune Shiba,,Q11500856,,,,,,,
Q149240,"Pierre de Dreux, Comte de Léon",,Q75384359,,,140985;I00013418;Bretagne-25;p10458.htm#i104572;Pierre_de_Bretagne_(1);p=pierre;n=de dreux;oc=3,,,,
Q149241,Blanche of Artois,,Q242769,4687427039910030320,,12816;I00005198;Artois-3;p10214.htm#i102137;Blanche_of_Artois_(1);p=blanche;n=d artois;oc=6;131434906,,,,
Q149242,"Thomas, 2nd Earl of Lancaster",,Q249183,6000000003200696188,,827823;I00005191;Plantagenet-315;p10214.htm#i102138;Thomas_of_Lancaster_(2);p=thomas;n=plantagenet,,,,
Q149243,John of Lancaster,,Q53681602,6000000002172844868,,I00005192;Plantagenet-302;p10457.htm#i104565;John_Plantagenet_(4);p=jean;n=plantagenet;oc=5,,,,
Q149244,Mary Plantagenet,,Q75384358,,,I00005194;Plantagenet-309;p10457.htm#i104566;Mary_Plantagenet_(4),,,,
Q149245,Maurice de Berkeley,,Q6793553,6000000013116537211,,499939;I00054198;Berkeley-70;p4175.htm#i41748;Maurice_de_Berkeley_(1);p=maurice;n=de berkeley;oc=2,,,,
Q149246,Robert de Berkeley,,Q75290459,,,p4178.htm#i41774,,,,
Q149247,Lora de Berkeley,,Q75290462,,,p4178.htm#i41775,,,,
Q149248,"John de Berkeley, 1st Baron Marmion",,Q75290466,,,I00140235;Marmion-24;p4178.htm#i41777,,,,
Q149249,Maurice de Berkeley,,Q75418779,,,Berkeley-216;p12963.htm#i129625,,,,
Q14925,Shiba Uujiyori,,Q11500857,,,,,,,
Q149250,"Thomas de Berkeley, 1st Baron Berkeley",,Q7795451,6000000003051159727,,499933;I00054200;Berkeley-20;p4177.htm#i41765;Thomas_de_Berkeley_(1),,,,
Q149251,"Matilda, Countess of Angus",,Q6787487,,,"499927;I00325232;Angus-17;p10916.htm#i109151;Matilda,_Countess_of_Angus_(1);p=maud;n=of angus",,,,
Q149252,"Richard of Chilham, Lord of Chilham",,Q75290414,,,I00437353;p4174.htm#i41737;Richard_of_Chilham_(1),,,,
Q149253,Isabel of Chilham,,Q75389418,,,367712;I00437416;Chilham-8;p10915.htm#i109149;Isabel_of_Chilham_(1);p=isabel;n=de dover,,,,
Q149254,"Sir William Marmion, of Tanfield",,Q100153759,,,499943;I00140233;Marmion-1;p72915.htm#i729147;William_De_Marmion_(2);p=william;n=marmion;oc=1,,,,
Q149255,Ieuan ap Llywelyn,,Q75963006,,,p43347.htm#i433465,,,,
Q149256,Gwenllian Fechan ferch Gruffudd,,Q75963061,,,p43351.htm#i433503,,,,
Q149257,unknown Llywelyn,,Q75963066,,,p43351.htm#i433507,,,,
Q149258,Richard ap Morus 'Fychan',,Q75962995,,,p43346.htm#i433457,,,,
Q149259,"Uilleam, Earl of Mar",,Q1756204,,,918784;I00108346;Mar-23;p460.htm#i4591;William_Mar_(7),,,,
Q14926,Shiba Yoshimasa,Japanese samurai,Q11500863,,,,,,,
Q149260,Elizabeth Comyn,,Q75242494,,,918792;I00108347;Comyn-26;p460.htm#i4592,,,,
Q149261,Marjorie Bruce,,Q291049,6000000002144509782,,49311;I00006036;Bruce-124;p10210.htm#i102091;Marjorie_Bruce_(1);p=marjorie;n=bruce,,,,
Q149262,"Kenneth de Moravia, 4th Earl of Sutherland",,Q6390865,,,1325177;I00117558;Moravia-8;p2587.htm#i25864,,,,
Q149263,"John of Strathbogie, Earl of Atholl",,Q3181234,,,I00437418;Strathbogie-11;p10786.htm#i107856;John_of_Strathbogie_(1),,,,
Q149264,"William de Moravia, 5th Earl of Sutherland",,Q7620356,,,1325178;I00065035;Sutherland-1243;p10791.htm#i107906;William_Sutherland_(2);p=william;n=de moravia,,,,
Q149265,Nicholas Sutherland,,Q75901720,,,I00473670;Sutherland-806;p39209.htm#i392082,,,,
Q149266,Eustachia Sutherland,,Q76360503,,,Sutherland-7109;p71080.htm#i710797,,,,
Q149267,Isabella of Strathbogie,,Q75387974,,,918742;I00029190;Strathbogie-5;p10786.htm#i107855;Isabella_de_Strathbogie_(1);p=isabel;n=of strathbogie,,,,
Q149268,"David II Strathbogie, Earl of Atholl",,Q3088902,,,"I00437392;Strathbogie-8;p10786.htm#i107858;David_II_Strathbogie,_Earl_of_Atholl_(1)",,,,
Q149269,Helen of Mar,,Q75388011,,,I00377286;Mar-38;p10789.htm#i107882;Mary_Ehislach_(1);p=ellen;n=of mar,,,,
Q149270,"Domhnall II, Earl of Mar",,Q1237391,6000000001713383244,,"918768;I00006388;Mar-35;p10788.htm#i107879;Domhnall_II,_Earl_of_Mar_(1);p=donald;n=of mar;oc=1",,,,
Q149271,Efa ferch Madog ab Elise ap Iorwerth,,Q96244027,,,I00705940;Ferch_Madog-15,,,,
Q149272,Margred ferch Madog ab Elise ab Iorwerth,,Q110067842,,,I00707776,,,,
Q149273,Myfanwy (1) ferch Madog ab Elise ab Iorwerth,,Q111455087,,,I00708265,,,,
Q149274,Nest ferch Madog ab Elise ab Iorwerth,,Q116055407,,,I00759874,,,,
Q149275,Lleucu ferch Madog ab Elise ab Iorwerth,,Q116055561,,,I00759500,,,,
Q149276,NN,,Q96312007,,,I00311435,,,,
Q149277,Dafydd Llwyd ap Cynwrig,,Q96312003,,,I00311438;Dafydd_Unknown_(21);p=dafydd llwyd;n=of gwynedd,,,,
Q149278,Dafydd ab Ithel ap Llywarch ap Dafydd,,Q116478877,,,I00754480,,,,
Q149279,Eleanor verch Philip,,Q99071765,,,I00557031,,,,
Q14928,Shiba Kaneyori,,Q11500846,,,,,,,
Q149280,William Marshal,,Q24008616,,,I00174774,,,,
Q149281,John Marshal,,Q24008617,,,I00478467;Marshall-212,,,,
Q149282,Tangwystl ferch Owain,,Q110636398,,,I00663853;Ferch_Owain-3,,,,
Q149283,Owain Lawgoch,,Q2738520,6000000006444798568,,Lawgoch-1;p10685.htm#i106841;Owain_Lawgoch_(1);p=owen;n=of gwynedd;oc=1,,,,
Q149284,Gwladus ferch Iorwerth,,Q76273210,,,I00589161;Ferch_Iorwerth-1;p65426.htm#i654253,,,,
Q149285,Madog Llwyd ab Iorwerth Foel ab Iorwerth Fychan,,Q99072290,,,I00705553,,,,
Q149286,Gruffudd,,Q99302479,,,I00616463;Ap_Iowerth_Foel-1,,,,
Q149287,Morgan ab Iorwerth Foel of Maelor Saesneg,,Q116147514,,,I00565695,,,,
Q149288,Madog ap Llywelyn ap Gruffudd ap Cadwgan,,Q110582605,,,I00706204,,,,
Q149289,Hywel Grach ap Llywelyn ap Gruffudd ap Cadwgan,,Q116054518,,,I00755849,,,,
Q149290,Annora de Braose,,Q75922757,,,p40548.htm#i405472,,,,
Q149291,Stephen le Gross,,Q75922762,,,p40548.htm#i405475,,,,
Q149292,Walkeline de Beauchamp,,Q75922764,,,p40548.htm#i405477,,,,
Q149293,"Sir Ralph Conias, lord of Richmond",,Q116146441,,,I00757875,,,,
Q149294,Henry de Ferrers,,Q56526555,,,Ferrers-432,,,,
Q149295,Guillaume II de Fiennes,,Q56285117,6000000002896070937,,309716;I00026631;Fiennes-104;p4817.htm#i48165;William_De_Fiennes_(1);p=guillaume;n=de fiennes;oc=2,,,,
Q149296,Blanche of Brienne,,Q2583415,,,309743;I00026632;Brienne-2;p2953.htm#i29526;Blanche_De_Brienne_(1);p=blanche;n=de brienne,,,,
Q149297,John I of Fiennes,,Q2022346,,,10605;I00027527;Fiennes-39;p4267.htm#i42668;John_Fiennes_(1);p=jean;n=de fiennes,,,,
Q149298,Edmund Mortimer,,Q4303435,6000000006727936896,,522293;I00026605;Mortimer-52;p10255.htm#i102547,,,,
Q149299,Margaret Mortimer,,Q6759745,,,I00026623;Mortimer-106;p1203.htm#i12029,,,,
Q149300,"Katherine Mortimer, Countess of Warwick",,Q3813372,6000000002217559631,,"I00026580;Mortimer-53;p349.htm#i3487;Katherine_Mortimer,_Countess_of_Warwick_(1)",,,,
Q149301,"Agnes Mortimer, Countess of Pembroke",,Q4693088,,,Mortimer-107;p66.htm#i658;Agnes_de_Mortimer_(1),,,,
Q149302,Joan Mortimer,,Q75299001,,,I00177405;Mortimer-94;p4726.htm#i47256,,,,
Q149303,Roger Mortimer,,Q56160727,,,p40546.htm#i405453,,,,
Q149304,Geoffrey Mortimer,,Q56162384,,,p40546.htm#i405454;p=geoffroy;n=de mortemer,,,,
Q149305,John Mortimer,,Q75922722,,,p40546.htm#i405455,,,,
Q149306,Blanche Mortimer,,Q75922725,,,p40546.htm#i405456,,,,
Q149307,Maud de Mortimer,,Q75565527,,,I00191853;p21586.htm#i215859|p70351.htm#i703502,,,,
Q149308,Elinor ferch Roger Mortimer,,Q110413618,,,I00757270,,,,
Q149309,Isabella Mortimer,,Q85853532,,,,,,,
Q149310,Elizabeth de Verdun,,Q75453217,,,I00125468;Verdun-8;p15142.htm#i151419,,,,
Q149311,Joan de Verdun,,Q75922607,,,I00198201;Verdun-9;p40539.htm#i405384,,,,
Q149312,Margery de Verdun,,Q75431375,,,I00289828;Verdun-12;p13742.htm#i137413,,,,
Q149313,Maud le Botiller,,Q75397072,6000000002135022288,,48833;I00030558;Boteler-208;p11648.htm#i116478;Maud_de_Verdun_(1);p=maud;n=le botiller,,,,
Q149314,"Alice of Saluzzo, Countess of Arundel",,Q3611717,6000000001744825617,,124975;I00026727;Saluzzo-3;p358.htm#i3575;Alisona_Saluzzo_(1);p=alasia;n=di saluzzo,,,,
Q149315,"Edmund FitzAlan, 9th Earl of Arundel",,Q2004845,6000000004533233742,,123617;I00015389;FitzAlan-586;p356.htm#i3560;Edmund_FitzAlan_(25);p=edmund;n=fitzalan,,,,
Q149316,Eleanor FitzAlan,,Q5354277,5070083164050115694,,1305724;I00015414;FitzAlan-607;p6.htm#i52;Eleanor_FitzAlan_(23);p=eleanor;n=fitzalan,,,,
Q149317,Lady Margaret FitzAlan,,Q75431782,,,I00191851;FitzAlan-588;p13768.htm#i137680;Margaret_Fitzalan_(1);p=margaret;n=fitzalan;oc=3,,,,
Q149318,Sir John Fitzalan,,Q76283681,,,I00026720;FitzAlan-605;p66141.htm#i661408;John_FitzAlan_(74),,,,
Q149319,Lady Alice Fitzalan,,Q75586826,,,I00139726;FitzAlan-587;p22800.htm#i227997;Alice_FitzAlan_(24),,,,
Q149320,Sir Philip Burnell,,Q29025399,,,I00487347;Burnell-21;p19098.htm#i190980;Philip_Burnell_(1);p=philip;n=burnell,,,,
Q149321,Maud Burnell,,Q75520234,,,I00487112;Burnell-7;p19099.htm#i190983,,,,
Q149322,"Edward Burnell, 1st and last Lord Burnell",,Q29025406,,,Burnel-1;p19098.htm#i190979,,,,
Q149323,"Robert de Vere, 5th Earl of Oxford",,Q673774,6000000006181432181,,261306;I00109454;De_Vere-307;p358.htm#i3579;Robert_de_Vere_(3),,,,
Q149324,Alice de Sandford,,Q75251071,,,I00109455;Sanford-1102;p1171.htm#i11705,,,,
Q149325,Alfonso de Vere,,Q28927515,6000000006181267256,,I00109433;De_Vere-323;p1171.htm#i11706,,,,
Q149326,Agnes de Ros,,Q75764363,,,I00287594;Ros-26;p32207.htm#i322067,,,,
Q149327,Robert de Musegross,,Q75922749,,,p40547.htm#i405468,,,,
Q149328,James of Aldithley,,Q75298938,,,p4722.htm#i47213,,,,
Q149329,Henry of Aldithley,,Q75298943,,,p4722.htm#i47217,,,,
Q149330,William of Aldithley,,Q75298950,,,p4723.htm#i47221,,,,
Q149331,Mary de Monthermer,,Q6781019,6000000001563228674,,I00308674;Monthermer-8;p10795.htm#i107945;Mary_Monthermer_(1);p=mary;n=de monthermer,,,,
Q149332,"Piers Gaveston, 1st Earl of Cornwall",,Q710482,6000000004838088326,,Gaveston-1;p10693.htm#i106929;Piers_Gaveston_(1);p=piers;n=gaveston;17950767,,,,
Q149333,"Ralph de Stafford, 1st Earl of Stafford",,Q942577,5614178293470033239,,601586;I00027627;Stafford-78;p812.htm#i8120;Ralph_de_Stafford_(2),,,,
Q149334,"Hugh de Stafford, 2nd Earl of Stafford",,Q4441325,6000000000129455080,,1292409;I00026567;Stafford-41;p874.htm#i8738;Hugh_de_Stafford_(2),,,,
Q149335,Beatrice de Stafford,,Q56372108,6000000004880970410,,I00028783;Stafford-34;p17619.htm#i176188,,,,
Q149336,Catherine de Stafford,,Q75240749,6000000006906868891,,p284.htm#i2835,,,,
Q149337,Lady Elizabeth de Stafford,,Q75653855,,,I00028784;Stafford-55;p27441.htm#i274406,,,,
Q149338,Sir Ralph de Stafford,,Q75246700,,,I00028779;Stafford-331;p812.htm#i8119;Ralph_de_Stafford_(1);p=ralph;n=stafford,,,,
Q149339,Q61971028,,Q61971028,,,I00177583;Greystoke-70,,,,
Q149340,"Ralph Neville, 1st Baron Neville de Raby",,Q7287905,,,970656;I00108625;Neville-57;p1962.htm#i19618;Ralph_de_Neville_(5),,,,
Q149341,Euphemia de Clavering,,Q75095304,6000000000796888188,,I00108626;Clavering-14;p1962.htm#i19619,,,,
Q149342,Robert de Neville,,Q17427388,,,Neville-308;p1963.htm#i19623,,,,
Q149343,Joan FitzHugh,,Q61963533,6000000003769935354,,327956;I00177582;FitzHugh-268;p70066.htm#i700656;144304107,,,,
Q149344,"Ralph de Greystoke, 3rd Baron Greystoke",,Q16863383,6000000002603425887,,144389;I00028378;Greystoke-24;p17615.htm#i176147;146426577,,,,
Q149345,Alice de Greystoke,,Q75960708,,,Greystoke-33;p43185.htm#i431843,,,,
Q149346,Robert de Greystoke,,Q76340434,,,p70066.htm#i700657,,,,
Q149347,William de Greystoke,,Q76340435,,,p70066.htm#i700658;144305623,,,,
Q149348,Maud Percy,,Q61278543,6000000000550492423,,51274;I00108485;Percy-15;p350.htm#i3493,,,,
Q149349,"Elizabeth Willoughby, Baroness Willoughby",,Q18593028,,,I00109035;Latimer-63;p1315.htm#i13147,,,,
Q14935,Rokkaku Yoshinobu,,Q11392552,,,820352,,,,
Q149350,Alice de Neville,,Q75254410,,,Neville-330;p1450.htm#i14497,,,,
Q149351,Eleanor de Neville,,Q75254413,,,I00165781;Neville-178;p1450.htm#i14499,,,,
Q149352,Maud de Neville,,Q75254411,,,p1450.htm#i14498,,,,
Q149353,"Ralph de Neville, 1st Earl of Westmorland",,Q1972589,6000000001069437500,,29948;I00001702;Neville-53;p10164.htm#i101634;Ralph_de_Neville_(4);p=ralph;n=nevill,,,,
Q149354,Idoine Neville,,Q76861629,,,,,,,
Q149355,"Thomas de Neville, 5th Lord Furnivalle",,Q75251731,,,I00198196;Neville-14;p1227.htm#i12270,,,,
Q149356,Elizabeth de Neville,,Q75244979,,,p667.htm#i6668,,,,
Q149357,"John de Neville, 5th  6th Baron Latimer (of Corby)",,Q45841190,,,Neville-396;p426.htm#i4254,,,,
Q149358,Elizabeth de Neville,,Q75254414,,,I00139629;Neville-1629;p1450.htm#i14500,,,,
Q149359,"William de Ros, 3rd Baron de Ros",,Q8020819,,,I00108628;Ros-39;p89.htm#i884;William_de_Ros_(3),,,,
Q14936,Rokkaku Michitaka,,Q11392547,,,,,,,
Q149360,"Henry Percy, 1st Earl of Northumberland",,Q1398378,6000000000337280718,,51254;I00015419;Percy-85;p10692.htm#i106912;Henry_Percy_(110);69493848,,,,
Q149361,Henry Percy,,Q471421,6000000001874251910,,51256;I00015421;Percy-4;p10726.htm#i107251;Henry_Percy_(112);39440911,,,,
Q149362,Sir Thomas Percy,,Q75389442,,,Percy-401;p10917.htm#i109167,,,,
Q149363,Sir Ralph de Percy,,Q75389465,,,p10919.htm#i109182,,,,
Q149364,Margaret de Percy,,Q75463907,,,I00709128;Percy-283;p15825.htm#i158249,,,,
